word,frequency,output_file
reveal,9,final_data_v4/reveal/reveal_20260313_220853.json
hide,9,final_data_v4/hide/hide_20260313_223110.json
target,9,final_data_v4/target/target_20260313_220853.json
escape,9,final_data_v4/escape/escape_20260313_223110.json
clean,9,final_data_v4/clean/clean_20260313_223110.json
cross,9,final_data_v4/cross/cross_20260313_223110.json
exist,9,final_data_v4/exist/exist_20260313_223110.json
alone,9,final_data_v4/alone/alone_20260313_223110.json
doubt,9,final_data_v4/doubt/doubt_20260313_223110.json
stand,9,final_data_v4/stand/stand_20260313_223110.json
path,9,final_data_v4/path/path_20260313_223110.json
soft,9,final_data_v4/soft/soft_20260313_223110.json
rare,9,final_data_v4/rare/rare_20260313_223110.json
beat,9,final_data_v4/beat/beat_20260313_223110.json
pure,9,final_data_v4/pure/pure_20260313_223110.json
hold,9,final_data_v4/hold/hold_20260314_205234.json
reason,9,final_data_v4/reason/reason_20260313_223110.json
tear,9,final_data_v4/tear/tear_20260314_205234.json
aim,9,final_data_v4/aim/aim_20260314_205234.json
moment,9,final_data_v4/moment/moment_20260313_220853.json
survive,9,final_data_v4/survive/survive_20260313_220853.json
movement,9,final_data_v4/movement/movement_20260314_205234.json
character,9,final_data_v4/character/character_20260314_205234.json
still,9,final_data_v4/still/still_20260313_223110.json
nightmare,9,final_data_v4/nightmare/nightmare_20260314_205234.json
standard,9,final_data_v4/standard/standard_20260314_205234.json
rainbow,9,final_data_v4/rainbow/rainbow_20260314_205234.json
guilty,9,final_data_v4/guilty/guilty_20260314_205234.json
wallet,9,final_data_v4/wallet/wallet_20260314_205234.json
challenge,9,final_data_v4/challenge/challenge_20260314_205234.json
recommend,9,final_data_v4/recommend/recommend_20260314_205234.json
highlight,9,final_data_v4/highlight/highlight_20260314_205234.json
purchase,9,final_data_v4/purchase/purchase_20260314_205234.json
interest,9,final_data_v4/interest/interest_20260314_205234.json
nonsense,9,final_data_v4/nonsense/nonsense_20260314_205234.json
industry,9,final_data_v4/industry/industry_20260314_205234.json
respond,9,final_data_v4/respond/respond_20260314_205234.json
remove,9,final_data_v4/remove/remove_20260314_205234.json
rarely,9,final_data_v4/rarely/rarely_20260314_205234.json
device,9,final_data_v4/device/device_20260314_205234.json
review,9,final_data_v4/review/review_20260314_205234.json
barely,9,final_data_v4/barely/barely_20260314_205234.json
advice,9,final_data_v4/advice/advice_20260314_205234.json
hardly,9,final_data_v4/hardly/hardly_20260314_205234.json
close,9,final_data_v4/close/close_20260314_205234.json
block,9,final_data_v4/block/block_20260314_205234.json
brain,9,final_data_v4/brain/brain_20260314_205234.json
environment,9,final_data_v4/environment/environment_20260314_205234.json
community,9,final_data_v4/community/community_20260314_205234.json
apartment,9,final_data_v4/apartment/apartment_20260314_205234.json
security,9,final_data_v4/security/security_20260314_205234.json
mention,9,final_data_v4/mention/mention_20260314_205234.json
session,9,final_data_v4/session/session_20260314_205234.json
version,9,final_data_v4/version/version_20260314_205234.json
emotion,9,final_data_v4/emotion/emotion_20260314_205234.json
comment,9,final_data_v4/comment/comment_20260314_205234.json
mission,9,final_data_v4/mission/mission_20260314_205234.json
ability,9,final_data_v4/ability/ability_20260314_205234.json
balance,9,final_data_v4/balance/balance_20260314_205234.json
option,9,final_data_v4/option/option_20260314_234937.json
action,9,final_data_v4/action/action_20260314_234937.json
essential,9,final_data_v4/essential/essential_20260314_234937.json
excellent,9,final_data_v4/excellent/excellent_20260314_234937.json
president,9,final_data_v4/president/president_20260314_234937.json
establish,9,final_data_v4/establish/establish_20260314_234937.json
recognize,9,final_data_v4/recognize/recognize_20260314_234937.json
encourage,9,final_data_v4/encourage/encourage_20260314_234937.json
immediate,9,final_data_v4/immediate/immediate_20260314_234937.json
dangerous,9,final_data_v4/dangerous/dangerous_20260314_234937.json
available,9,final_data_v4/available/available_20260314_234937.json
potential,9,final_data_v4/potential/potential_20260314_234937.json
emotional,9,final_data_v4/emotional/emotional_20260314_234937.json
delicious,9,final_data_v4/delicious/delicious_20260314_234937.json
emergency,9,final_data_v4/emergency/emergency_20260314_234937.json
approach,9,final_data_v4/approach/approach_20260314_234937.json
criminal,9,final_data_v4/criminal/criminal_20260314_234937.json
somewhat,9,final_data_v4/somewhat/somewhat_20260314_234937.json
shoulder,9,final_data_v4/shoulder/shoulder_20260314_234937.json
negative,9,final_data_v4/negative/negative_20260314_234937.json
previous,9,final_data_v4/previous/previous_20260314_234937.json
original,9,final_data_v4/original/original_20260314_234937.json
response,9,final_data_v4/response/response_20260314_234937.json
multiple,9,final_data_v4/multiple/multiple_20260314_234937.json
feedback,9,final_data_v4/feedback/feedback_20260314_234937.json
consider,9,final_data_v4/consider/consider_20260314_234937.json
property,9,final_data_v4/property/property_20260314_234937.json
behavior,9,final_data_v4/behavior/behavior_20260314_234937.json
positive,9,final_data_v4/positive/positive_20260314_234937.json
opposite,9,final_data_v4/opposite/opposite_20260314_234937.json
discount,9,final_data_v4/discount/discount_20260314_234937.json
military,9,final_data_v4/military/military_20260314_234937.json
complete,9,final_data_v4/complete/complete_20260314_234937.json
describe,9,final_data_v4/describe/describe_20260314_234937.json
personal,9,final_data_v4/personal/personal_20260314_234937.json
pleasure,9,final_data_v4/pleasure/pleasure_20260314_234937.json
specific,9,final_data_v4/specific/specific_20260314_234937.json
transfer,9,final_data_v4/transfer/transfer_20260314_234937.json
physical,9,final_data_v4/physical/physical_20260314_234937.json
accident,9,final_data_v4/accident/accident_20260314_234937.json
weather,9,final_data_v4/weather/weather_20260315_205709.json
reward,9,final_data_v4/reward/reward_20260315_210142.json
manage,9,final_data_v4/manage/manage_20260315_210713.json
strike,9,final_data_v4/strike/strike_20260317_232330.json
shoot,9,final_data_v4/shoot/shoot_20260317_232330.json
nearly,9,final_data_v4/nearly/nearly_20260317_232330.json
tire,9,final_data_v4/tire/tire_20260317_232330.json
tend,9,final_data_v4/tend/tend_20260317_232330.json
management,9,final_data_v4/management/management_20260317_232330.json
tiny,9,final_data_v4/tiny/tiny_20260317_232330.json
fast,9,final_data_v4/fast/fast_20260317_232330.json
employee,9,final_data_v4/employee/employee_20260317_232330.json
schedule,9,final_data_v4/schedule/schedule_20260317_232330.json
reverse,9,final_data_v4/reverse/reverse_20260317_232330.json
generate,9,final_data_v4/generate/generate_20260317_232330.json
apologize,9,final_data_v4/apologize/apologize_20260317_232330.json
figure,9,final_data_v4/figure/figure_20260317_232330.json
smart,9,final_data_v4/smart/smart_20260317_232330.json
means,9,final_data_v4/means/means_20260317_232330.json
level,9,final_data_v4/level/level_20260317_232330.json
appear,9,final_data_v4/appear/appear_20260317_232330.json
save,9,final_data_v4/save/save_20260317_232330.json
attempt,9,final_data_v4/attempt/attempt_20260317_232330.json
critical,9,final_data_v4/critical/critical_20260317_232330.json
involve,9,final_data_v4/involve/involve_20260317_232330.json
equipment,9,final_data_v4/equipment/equipment_20260317_232330.json
basis,9,final_data_v4/basis/basis_20260317_232330.json
unfortunately,9,final_data_v4/unfortunately/unfortunately_20260317_232330.json
crisis,9,final_data_v4/crisis/crisis_20260317_232330.json
primary,9,final_data_v4/primary/primary_20260317_232330.json
load,9,final_data_v4/load/load_20260317_232330.json
episode,9,final_data_v4/episode/episode_20260317_232330.json
minute,9,final_data_v4/minute/minute_20260317_232330.json
site,9,final_data_v4/site/site_20260317_232330.json
mobile,9,final_data_v4/mobile/mobile_20260317_232330.json
file,9,final_data_v4/file/file_20260317_232330.json
literally,9,final_data_v4/literally/literally_20260317_232330.json
limited,9,final_data_v4/limited/limited_20260317_232330.json
document,9,final_data_v4/document/document_20260317_232330.json
sweat,9,final_data_v4/sweat/sweat_20260317_232330.json
male,9,final_data_v4/male/male_20260317_232330.json
quality,9,final_data_v4/quality/quality_20260317_232330.json
amount,9,final_data_v4/amount/amount_20260317_232330.json
low,9,final_data_v4/low/low_20260317_232330.json
flight,9,final_data_v4/flight/flight_20260317_232330.json
group,9,final_data_v4/group/group_20260317_232330.json
inch,9,final_data_v4/inch/inch_20260317_232330.json
cancel,9,final_data_v4/cancel/cancel_20260317_232330.json
quit,9,final_data_v4/quit/quit_20260317_232330.json
diet,9,final_data_v4/diet/diet_20260317_232330.json
choice,9,final_data_v4/choice/choice_20260317_232330.json
crazy,9,final_data_v4/crazy/crazy_20260317_232330.json
actual,9,final_data_v4/actual/actual_20260317_232330.json
disaster,9,final_data_v4/disaster/disaster_20260318_203739.json
nicely,9,final_data_v4/nicely/nicely_20260319_001934.json
guy,9,final_data_v4/guy/guy_20260319_001934.json
solid,9,final_data_v4/solid/solid_20260319_001934.json
develop,9,final_data_v4/develop/develop_20260319_001934.json
vehicle,9,final_data_v4/vehicle/vehicle_20260319_001934.json
snack,9,final_data_v4/snack/snack_20260319_001934.json
mine,9,final_data_v4/mine/mine_20260319_001934.json
green,9,final_data_v4/green/green_20260319_001934.json
afford,9,final_data_v4/afford/afford_20260319_001934.json
threat,9,final_data_v4/threat/threat_20260319_001934.json
belt,9,final_data_v4/belt/belt_20260319_001934.json
focus,9,final_data_v4/focus/focus_20260319_001934.json
lot,9,final_data_v4/lot/lot_20260319_001934.json
activity,9,final_data_v4/activity/activity_20260319_001934.json
stick,9,final_data_v4/stick/stick_20260319_001934.json
assume,9,final_data_v4/assume/assume_20260319_001934.json
project,9,final_data_v4/project/project_20260319_001934.json
pound,9,final_data_v4/pound/pound_20260319_001934.json
drove,9,final_data_v4/drove/drove_20260319_001934.json
safe,9,final_data_v4/safe/safe_20260319_001934.json
account,9,final_data_v4/account/account_20260319_001934.json
lower,9,final_data_v4/lower/lower_20260319_001934.json
chat,9,final_data_v4/chat/chat_20260319_001934.json
operate,9,final_data_v4/operate/operate_20260319_001934.json
husband,9,final_data_v4/husband/husband_20260319_001934.json
felt,9,final_data_v4/felt/felt_20260319_001934.json
warn,9,final_data_v4/warn/warn_20260319_001934.json
client,9,final_data_v4/client/client_20260319_001934.json
spread,9,final_data_v4/spread/spread_20260319_001934.json
besides,9,final_data_v4/besides/besides_20260319_001934.json
performance,9,final_data_v4/performance/performance_20260319_001934.json
culture,9,final_data_v4/culture/culture_20260319_001934.json
nervous,9,final_data_v4/nervous/nervous_20260319_001934.json
grateful,9,final_data_v4/grateful/grateful_20260319_001934.json
additional,9,final_data_v4/additional/additional_20260319_001934.json
piano,9,final_data_v4/piano/piano_20260319_001934.json
fit,9,final_data_v4/fit/fit_20260319_001934.json
engine,9,final_data_v4/engine/engine_20260319_001934.json
gear,9,final_data_v4/gear/gear_20260319_001934.json
screen,9,final_data_v4/screen/screen_20260319_001934.json
treatment,9,final_data_v4/treatment/treatment_20260319_001934.json
stock,9,final_data_v4/stock/stock_20260319_001934.json
smooth,9,final_data_v4/smooth/smooth_20260319_001934.json
concern,9,final_data_v4/concern/concern_20260319_001934.json
gap,9,final_data_v4/gap/gap_20260319_001934.json
article,9,final_data_v4/article/article_20260319_001934.json
tip,9,final_data_v4/tip/tip_20260319_001934.json
issue,9,final_data_v4/issue/issue_20260319_001934.json
request,9,final_data_v4/request/request_20260319_001934.json
offer,9,final_data_v4/offer/offer_20260319_001934.json
band,9,final_data_v4/band/band_20260319_001934.json
roll,9,final_data_v4/roll/roll_20260319_001934.json
average,9,final_data_v4/average/average_20260319_001934.json
apply,9,final_data_v4/apply/apply_20260319_001934.json
